family,epochs,data_fraction,seed,param.factors,param.regularisation,param.alpha,train_cpu_seconds,train_wall_seconds,val_ndcg_at_10,val_recall_at_10,param.latent,param.hidden,param.dropout
als,5,0.25,0,16.0,0.001,1.0,0.09375,0.09515889999966021,0.09622690449194765,0.18485523385300667,,,
als,5,0.25,1,16.0,0.001,1.0,0.078125,0.0803769000012835,0.09167381464533896,0.18262806236080179,,,
als,15,0.25,0,16.0,0.001,1.0,0.25,0.24760349999996834,0.10152806527303522,0.19821826280623608,,,
als,15,0.25,1,16.0,0.001,1.0,0.234375,0.24100909999833675,0.10325791875854318,0.19821826280623608,,,
als,30,0.25,0,16.0,0.001,1.0,0.53125,0.5263158999987354,0.10420573463621066,0.2026726057906459,,,
als,30,0.25,1,16.0,0.001,1.0,0.484375,0.489613300000201,0.10412118076353784,0.2071269487750557,,,
als,5,0.5,0,16.0,0.001,1.0,0.078125,0.08414510000147857,0.1366615611190713,0.26948775055679286,,,
als,5,0.5,1,16.0,0.001,1.0,0.09375,0.08732310000050347,0.12941838735662714,0.22717149220489977,,,
als,15,0.5,0,16.0,0.001,1.0,0.265625,0.258815199998935,0.15100367815016383,0.2739420935412027,,,
als,15,0.5,1,16.0,0.001,1.0,0.25,0.2522304999984044,0.13141758616357926,0.2561247216035635,,,
als,30,0.5,0,16.0,0.001,1.0,0.515625,0.5154835000030289,0.1425874325975486,0.26280623608017817,,,
als,30,0.5,1,16.0,0.001,1.0,0.5625,0.5663055000004533,0.1393497228146335,0.26280623608017817,,,
als,5,1.0,0,16.0,0.001,1.0,0.09375,0.09035000000221771,0.15309308712642647,0.2962138084632517,,,
als,5,1.0,1,16.0,0.001,1.0,0.09375,0.08809240000118734,0.13128368223716405,0.25389755011135856,,,
als,15,1.0,0,16.0,0.001,1.0,0.265625,0.26573439999992843,0.15110012973559717,0.27839643652561247,,,
als,15,1.0,1,16.0,0.001,1.0,0.265625,0.2638248000002932,0.1453352406358159,0.27616926503340755,,,
als,30,1.0,0,16.0,0.001,1.0,0.671875,0.6858824999981152,0.1589841835355936,0.29398663697104677,,,
als,30,1.0,1,16.0,0.001,1.0,0.5625,0.5635690999988583,0.1524176390180771,0.2806236080178174,,,
als,5,0.25,0,16.0,0.001,10.0,0.078125,0.08566229999996722,0.09252359080794381,0.16703786191536749,,,
als,5,0.25,1,16.0,0.001,10.0,0.09375,0.0887473000002501,0.08796795097344096,0.1514476614699332,,,
als,15,0.25,0,16.0,0.001,10.0,0.265625,0.26891450000039185,0.11481964371811547,0.21380846325167038,,,
als,15,0.25,1,16.0,0.001,10.0,0.28125,0.2773105999986001,0.10745681095998849,0.19376391982182628,,,
als,30,0.25,0,16.0,0.001,10.0,0.5625,0.6033445000030042,0.11142030530203868,0.2026726057906459,,,
als,30,0.25,1,16.0,0.001,10.0,0.578125,0.5821317000009003,0.11090469474366006,0.1915367483296214,,,
als,5,0.5,0,16.0,0.001,10.0,0.09375,0.09156280000024708,0.1414233066561205,0.28507795100222716,,,
als,5,0.5,1,16.0,0.001,10.0,0.09375,0.09511600000041653,0.1272707832579212,0.2383073496659243,,,
als,15,0.5,0,16.0,0.001,10.0,0.296875,0.29373710000072606,0.1463793170783293,0.28507795100222716,,,
als,15,0.5,1,16.0,0.001,10.0,0.34375,0.34087580000050366,0.13485193254513922,0.26280623608017817,,,
als,30,0.5,0,16.0,0.001,10.0,0.515625,0.5148526999983005,0.14379107268798458,0.2828507795100223,,,
als,30,0.5,1,16.0,0.001,10.0,0.515625,0.5167050000018207,0.14495623829535564,0.27616926503340755,,,
als,5,1.0,0,16.0,0.001,10.0,0.09375,0.08802439999999478,0.1400913848395729,0.267260579064588,,,
als,5,1.0,1,16.0,0.001,10.0,0.078125,0.08688989999791374,0.13169134983253203,0.24944320712694878,,,
als,15,1.0,0,16.0,0.001,10.0,0.265625,0.25945730000239564,0.14685435340812536,0.2739420935412027,,,
als,15,1.0,1,16.0,0.001,10.0,0.265625,0.26186840000082157,0.14938628394568182,0.2828507795100223,,,
als,30,1.0,0,16.0,0.001,10.0,0.515625,0.5133359999999811,0.1558691213273045,0.29175946547884185,,,
als,30,1.0,1,16.0,0.001,10.0,0.546875,0.5508989000009024,0.15566076635452977,0.2873051224944321,,,
als,5,0.25,0,16.0,0.001,40.0,0.125,0.13108049999937066,0.0857537392567056,0.1603563474387528,,,
als,5,0.25,1,16.0,0.001,40.0,0.109375,0.09863309999855119,0.06765376817829305,0.12472160356347439,,,
als,15,0.25,0,16.0,0.001,40.0,0.296875,0.2961085999995703,0.10514100631513004,0.19599109131403117,,,
als,15,0.25,1,16.0,0.001,40.0,0.296875,0.29511030000139726,0.10135931572633747,0.17817371937639198,,,
als,30,0.25,0,16.0,0.001,40.0,0.484375,0.48120160000325995,0.10595295983312607,0.18485523385300667,,,
als,30,0.25,1,16.0,0.001,40.0,0.484375,0.48196090000055847,0.10440995467941272,0.18930957683741648,,,
als,5,0.5,0,16.0,0.001,40.0,0.078125,0.08268619999944349,0.13356237378203467,0.2583518930957684,,,
als,5,0.5,1,16.0,0.001,40.0,0.078125,0.08388490000288584,0.10455095724738087,0.20044543429844097,,,
als,15,0.5,0,16.0,0.001,40.0,0.25,0.2543251000024611,0.13765635608643623,0.267260579064588,,,
als,15,0.5,1,16.0,0.001,40.0,0.25,0.251497000001109,0.12681642520958292,0.24498886414253898,,,
als,30,0.5,0,16.0,0.001,40.0,0.5,0.5047529000003124,0.13480449377746231,0.26948775055679286,,,
als,30,0.5,1,16.0,0.001,40.0,0.515625,0.5187717000007979,0.1363883186846933,0.2516703786191537,,,
als,5,1.0,0,16.0,0.001,40.0,0.09375,0.08995559999675606,0.1278300366145383,0.25389755011135856,,,
als,5,1.0,1,16.0,0.001,40.0,0.09375,0.09194800000113901,0.11686989117037312,0.22048997772828507,,,
als,15,1.0,0,16.0,0.001,40.0,0.25,0.2579924000019673,0.1432530593070817,0.2828507795100223,,,
als,15,1.0,1,16.0,0.001,40.0,0.265625,0.2590578999988793,0.15059580444994575,0.2739420935412027,,,
