dataset,method,seed,best_quality,best_config_id,n_unique,n_duplicates,spent_cpu_seconds,checkpoint_0.25,checkpoint_0.5,checkpoint_1.0
ml100k,grid,0,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,146.85461418167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,0,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,49,1,147.0625,0.074809747535055,0.078775994455641,0.079475733232263
ml100k,tpe,0,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,73,193,150.6805070388163,0.076887166977308,0.078174671117688,0.079068094664324
ml100k,successive_halving,0,0.077170461291231,als|factors=32;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,43,0,148.2439903846154,0.077170461291231,0.077170461291231,0.077170461291231
ml100k,hyperband,0,0.077551795194721,als|factors=64;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,43,0,153.63300433548187,0.071761985997885,0.072772557980896,0.077551795194721
ml100k,sm2,0,0.076887166977308,markov|order=1;smoothing=0.5;decay=false|frac=1.0,41,0,150.4767028233049,0.067377980320436,0.067377980320436,0.076887166977308
ml100k,bocs,0,0.074367503565843,als|factors=64;epochs=15;regularisation=0.1;alpha=1.0|frac=1.0,42,0,146.50167410714286,0.067957659793393,0.073276216141044,0.074367503565843
ml100k,fmqa,0,0.078775994455641,als|factors=32;epochs=30;regularisation=0.001;alpha=1.0|frac=1.0,64,0,149.0067795174441,0.078775994455641,0.078775994455641,0.078775994455641
ml100k,grid,1,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,146.87023918167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,1,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,42,3,144.25130208333331,0.07889310261079,0.07889310261079,0.079068094664324
ml100k,tpe,1,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,72,197,147.97831209834013,0.076887166977308,0.077551795194721,0.079475733232263
ml100k,successive_halving,1,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,49,0,147.9259215733049,0.072130893278926,0.079031009902108,0.079031009902108
ml100k,hyperband,1,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,41,0,145.04166666666666,0.063091267204888,0.069552013233104,0.079031009902108
ml100k,sm2,1,0.072133848770243,als|factors=16;epochs=15;regularisation=0.1;alpha=1.0|frac=1.0,54,0,144.32310850214856,0.070965660795139,0.072035376748097,0.072133848770243
ml100k,bocs,1,0.076921290090755,als|factors=32;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,51,0,150.33984375,0.072035376748097,0.072130893278926,0.076921290090755
ml100k,fmqa,1,0.076887166977308,markov|order=1;smoothing=0.1;decay=false|frac=1.0,54,0,144.63909121616203,0.067446750843474,0.07298946206594,0.076887166977308
ml100k,grid,2,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,146.87023918167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,2,0.076921290090755,als|factors=32;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,47,1,146.3221153846154,0.071591332341315,0.074281958945344,0.076921290090755
ml100k,tpe,2,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,78,244,154.53820793167347,0.077551795194721,0.077551795194721,0.079031009902108
ml100k,successive_halving,2,0.074370280394039,als|factors=64;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,57,0,145.12760416666669,0.07298946206594,0.07298946206594,0.074370280394039
ml100k,hyperband,2,0.078916562402482,als|factors=32;epochs=15;regularisation=0.001;alpha=1.0|frac=1.0,50,0,156.8515625,0.071838450263929,0.078916562402482,0.078916562402482
ml100k,sm2,2,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,43,0,148.82552083333331,0.069934877014981,0.069934877014981,0.079031009902108
ml100k,bocs,2,0.074370280394039,als|factors=64;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,42,0,144.93229166666666,0.072613481716454,0.072613481716454,0.074370280394039
ml100k,fmqa,2,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,60,0,144.50850513676397,0.065911900848609,0.071679297159898,0.079475733232263
ml100k,grid,3,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,146.85461418167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,3,0.077551795194721,als|factors=64;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,49,6,157.98897388676394,0.064459844727287,0.077551795194721,0.077551795194721
ml100k,tpe,3,0.074809747535055,als|factors=128;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,43,33,146.51867668167347,0.074809747535055,0.074809747535055,0.074809747535055
ml100k,successive_halving,3,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,49,0,150.64453125,0.079031009902108,0.079031009902108,0.079031009902108
ml100k,hyperband,3,0.078775994455641,als|factors=32;epochs=30;regularisation=0.001;alpha=1.0|frac=1.0,50,0,156.03584888676394,0.072130893278926,0.078775994455641,0.078775994455641
ml100k,sm2,3,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,46,0,145.31391743955334,0.078775994455641,0.078775994455641,0.079068094664324
ml100k,bocs,3,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,39,0,144.59635416666669,0.066977589496023,0.076822288397693,0.079068094664324
ml100k,fmqa,3,0.078916562402482,als|factors=32;epochs=15;regularisation=0.001;alpha=1.0|frac=1.0,69,0,145.33214660622,0.067103085034269,0.067103085034269,0.078916562402482
ml100k,grid,4,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,146.87023918167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,4,0.078174671117688,als|factors=32;epochs=15;regularisation=0.1;alpha=1.0|frac=1.0,43,2,152.83723958333331,0.077170461291231,0.078174671117688,0.078174671117688
ml100k,tpe,4,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,58,160,145.21993001679346,0.067596432211104,0.079475733232263,0.079475733232263
ml100k,successive_halving,4,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,30,0,144.73697916666666,0.067957659793393,0.072133848770243,0.079031009902108
ml100k,hyperband,4,0.077170461291231,als|factors=32;epochs=5;regularisation=0.01;alpha=1.0|frac=1.0,68,0,147.33966356167235,0.065911900848609,0.066419141063009,0.077170461291231
ml100k,sm2,4,0.078916562402482,als|factors=32;epochs=15;regularisation=0.001;alpha=1.0|frac=1.0,42,0,145.77176339285714,0.071909148805321,0.078916562402482,0.078916562402482
ml100k,bocs,4,0.078174671117688,als|factors=32;epochs=15;regularisation=0.1;alpha=1.0|frac=1.0,47,0,144.49479166666666,0.06331151947879,0.064118747205767,0.078174671117688
ml100k,fmqa,4,0.07889310261079,als|factors=32;epochs=30;regularisation=0.01;alpha=1.0|frac=1.0,66,0,145.89429954949534,0.076769272305744,0.076769272305744,0.07889310261079
ml100k,grid,5,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,146.88586418167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,5,0.071909148805321,als|factors=16;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,64,4,145.8251488095238,0.071909148805321,0.071909148805321,0.071909148805321
ml100k,tpe,5,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,69,252,145.95053909009835,0.076887166977308,0.076887166977308,0.079031009902108
ml100k,successive_halving,5,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,50,0,150.23108490750207,0.079068094664324,0.079068094664324,0.079068094664324
ml100k,hyperband,5,0.073251714964692,als|factors=128;epochs=30;regularisation=0.001;alpha=1.0|frac=1.0,38,0,150.8095238095238,0.071591332341315,0.071591332341315,0.072035376748097
ml100k,sm2,5,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,45,0,145.07291666666666,0.079031009902108,0.079031009902108,0.079031009902108
ml100k,bocs,5,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,36,0,148.80989583333331,0.072202953637077,0.073312016856717,0.079031009902108
ml100k,fmqa,5,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,67,0,148.88054049212013,0.069293156077438,0.079031009902108,0.079031009902108
