dataset,family,n,median_val,median_test,median_test_over_val
gift_cards,als,324,0.080064337660863,0.068193596557656,0.8008712101805385
gift_cards,itemknn,36,0.17649698167344302,0.110751161354885,0.7699853280915514
gift_cards,markov,36,0.1745739906689495,0.09781910539670449,0.5829743420346669
gift_cards,multvae,72,0.11342184336542199,0.085626556427552,0.7691544593707731
gift_cards,popularity,3,0.091025123512025,0.0637889194783,0.6985043279934771
luxury_beauty,als,324,0.210726497320012,0.113322428294315,0.5381542281309166
luxury_beauty,itemknn,36,0.215816994259067,0.119210240205171,0.5437435162500168
luxury_beauty,markov,36,0.258428640542262,0.0451379116355355,0.17197312933882292
luxury_beauty,multvae,72,0.18760264919373848,0.0996571456588745,0.5194307009155245
luxury_beauty,popularity,3,0.030595481469863,0.011620229317796,0.4352395016874049
ml100k,als,324,0.0580643965594395,0.046267938148990995,0.8341892625841936
ml100k,itemknn,36,0.055391287651423496,0.043478074605921,0.7897691865313938
ml100k,markov,36,0.0380548989750325,0.038914763700100996,1.0175078677060143
ml100k,multvae,72,0.045583888665514,0.038061900819743005,0.8683151021035376
ml100k,popularity,3,0.017457135751078,0.01537362845945,0.9853337660856817
software,als,324,0.19643631684733198,0.0425547816932595,0.5351276865642572
software,itemknn,36,0.210635900770446,0.0429818671309915,0.2495448514492099
software,markov,36,0.2169652340323165,0.037446833511565,0.16787020343036213
software,multvae,72,0.157823653983934,0.024514625535696,0.504030916272072
software,popularity,3,0.022287709613913,0.011896324004189,0.5337616206540475
